Світлофор зі звуковим сигналом |вул. Вишгородська – вул. Білицька			                |50.497101301893295	|30.45621545006428
Світлофор зі звуковим сигналом |вул. Вишгородська – вул. Мостицька			                |50.500748502241386	|30.451769305569194
Світлофор зі звуковим сигналом |вул. Вишгородська – вул. Пріорська			                |50.50849189058592	|30.450778033928245
Світлофор зі звуковим сигналом |вул. Вишгородська – просп. Правди			                |50.50575483222442	|30.45099556660163
Світлофор зі звуковим сигналом |пл. Тараса Шевченка – просп. Литовський		                |50.52113848125817	|30.4495623067935
Світлофор зі звуковим сигналом |просп. Оболонський – вул. Левка Лук’яненка	                |50.51273610273869	|30.499125312360267
Світлофор зі звуковим сигналом |вул. Героїв Дніпра, 6				                        |50.51741352701122	|30.48689266236065
Світлофор зі звуковим сигналом |вул. Героїв Дніпра, 40				                        |50.52257248232347	|30.508701105353495
Світлофор зі звуковим сигналом |вул. Героїв Дніпра, 45				                        |50.522599858600614	|30.504647113754277
Світлофор зі звуковим сигналом |вул. Олександра Архипенка, 4 		                        |50.495934398286614	|30.510663864909034
Світлофор зі звуковим сигналом |просп. Володимира Івасюка – вул. Олександра Архипенка	    |50.4963165358044   |30.517723403228775
Світлофор зі звуковим сигналом |просп. Володимира Івасюка, 4		            		    |50.492169471524726	|30.522602791011604
Світлофор зі звуковим сигналом |просп. Володимира Івасюка – інститут Гідробіології	        |50.502386014556734	|30.51297023109613
Світлофор зі звуковим сигналом |просп. Володимира Івасюка – вул. Прирічна			        |50.51367886840122	|30.507427222141725
Світлофор зі звуковим сигналом |просп. Володимира Івасюка, 51		                        |50.520388524133644	|30.513669053792057
Понижений бордюр |просп. Володимира Івасюка, 17-А	Міжквартальні тротуари				    |50.50337695379566	|30.509391926513906
Понижений бордюр |вул. Героїв полку «Азов», 32, 32-А Міжквартальні тротуари				    |50.50239446358686	|30.506138916007316
Понижений бордюр |вул. Героїв полку «Азов», 28, 30	Міжквартальні тротуари				    |50.50172050670293	|30.505088159401687
Понижений бордюр |просп. Володимира Івасюка, 9, 9-А	Міжквартальні тротуари				    |50.499110918575994	|30.51333886893027
Понижений бордюр |вул. Олександра Архипенка, 3-А Міжквартальні тротуари				        |50.49755239534026	|30.512200382395694
Понижений бордюр |вул. Йорданська, 1-А	Міжквартальні тротуари				                |50.49194669717922	|30.506415256756917
Понижений бордюр |просп. Володимира Івасюка, 19, 19-А Міжквартальні тротуари				|50.50494467698844	|30.509966751211056
Понижений бордюр |вул. Йорданська, 9-А, 11-ЖБК Міжквартальні тротуари				        |50.49501846510474	|30.506872448840625
